Training Log
Learning Rate: 0.0003
Weight Decay: 0.0001
Max Epochs: 90
Early Stopping: True
EMA Patience: 5
epoch	train_loss	train_acc	valid_loss	valid_acc
1	1.0708	0.5627	0.8941	0.6226
2	0.8203	0.6836	0.7384	0.6635
3	0.7275	0.7240	0.5325	0.8510
4	0.6363	0.7604	0.4705	0.8293
5	0.5856	0.7842	0.4584	0.8317
6	0.5364	0.8013	0.5018	0.8317
7	0.4556	0.8355	0.6433	0.7788
8	0.4256	0.8361	0.4081	0.8822
9	0.4188	0.8473	0.3164	0.9014
10	0.3739	0.8593	0.2438	0.9159
11	0.3602	0.8660	0.2652	0.9087
12	0.3812	0.8591	0.2376	0.9087
13	0.3374	0.8730	0.2389	0.9303
14	0.3069	0.8866	0.2459	0.9183
15	0.3067	0.8845	0.2629	0.8918
16	0.3016	0.8887	0.3476	0.9135
17	0.2914	0.8944	0.2009	0.9255
18	0.2829	0.8960	0.2941	0.8990
19	0.2666	0.8981	0.2978	0.8894
20	0.2836	0.8952	0.1935	0.9255
21	0.2605	0.9053	0.1751	0.9351
22	0.2584	0.9051	0.2006	0.9351
23	0.2351	0.9131	0.1983	0.9351
24	0.2549	0.9024	0.1756	0.9399
25	0.2302	0.9107	0.1928	0.9279
Final Test Loss: 0.3943, Final Test Acc: 0.8557
